store,cbsa,address,city,state,zip,lat,lon,ccia,capis,ogpMarketName,status
2250,"Cincinnati, OH-KY-IN",4000 Red Bank Rd,Cincinnati,OH,45227-3416,39.148747,-84.402598,,Other (Non-Proto),Cincinnati,Open
2251,"Los Angeles-Long Beach-Anaheim, CA",17150 Gale Ave,City Of Industry,CA,91745-1809,33.998437,-117.932376,,Garden Center,Los Angeles,Open
2252,"Allentown-Bethlehem-Easton, PA-NJ",3722 Easton Nazareth Hwy,Easton,PA,18045-8340,40.714538,-75.281208,In-Lane,Stockroom Middle,Reading,Open
2253,"San Diego-Carlsbad, CA",13487 Camino Canada,El Cajon,CA,92021-8811,32.822626,-116.901748,,Expansion (Full),San Diego,Open
2255,"Scranton--Wilkes-Barre--Hazleton, PA",761 Airport Rd,Hazle Township,PA,18202-3282,40.986535,-76.012432,,Seafood Internal Plus,Scranton,Open
2256,"Henderson, NC",200 N Cooper Dr,Henderson,NC,27536-4016,36.334769,-78.443618,Update Existing (Front),Seafood Internal,Raleigh,Open
2257,"Houston-The Woodlands-Sugar Land, TX",13484 Northwest Fwy,Houston,TX,77040-6007,29.853905,-95.509077,,Centennial,Houston West,Open
2259,"Kalispell, MT",170 Hutton Ranch Rd,Kalispell,MT,59901-2107,48.231759,-114.326134,,Centennial,Missoula,Open
2261,"Providence-Warwick, RI-MA",1031 Ten Rod Rd,North Kingstown,RI,02852-4125,41.585796,-71.491361,,Tenant,Providence,Open
2265,"Greenville-Anderson-Mauldin, SC",3950 Grandview Dr,Simpsonville,SC,29680-3163,34.712012,-82.252053,Update Existing (Front),Seafood Internal Plus High,Greenville South,Open
2266,"Cleveland-Elyria, OH",8585 Pearl Rd,Strongsville,OH,44136-1641,41.346314,-81.819635,,Centennial,Cleveland,Open
2269,"Yakima, WA",1600 E Chestnut Ave,Yakima,WA,98901-2174,46.601529,-120.480429,,Modified Split Backroom,Yakima,Open
2270,"Durango, CO",1155 S Camino Del Rio,Durango,CO,81303-6698,37.229957,-107.865721,,Expansion (Full),Las Cruces,Open
